Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species
KX547612,West Nile virus,USA,NY, Suffolk county,,culex sp.,41142,"    Direct Submission
  ",mosquito
KX547614,West Nile virus,USA,NY, Erie county,,culex sp.,38539,"    Direct Submission
  ",mosquito
KX547617,West Nile virus,USA,NY, Orange county,,culex sp.,37859,"    Direct Submission
  ",mosquito
MH170271,West Nile virus,USA, GA," Decatur, Dekalb County",mosquito,culex sp.,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
MH170272,West Nile virus,USA, GA," Garden City, Chatham",mosquito pool (25),culex sp.,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito
W1517,,,IL,Cook,,culex sp.,43286,,mosquito
W1538,,,IL,Cook,,culex sp.,43300,,mosquito
W1586,,,IL,Cook,,culex sp.,43314,,mosquito
W1614,,,IL,Cook,,culex sp.,43321,,mosquito
W1638,,,IL,Cook,,culex sp.,43321,,mosquito
W1648,,,IL,Cook,,culex sp.,43328,,mosquito
W1656,,,IL,Cook,,culex sp.,43328,,mosquito
W1685,,,IL,Cook,,culex sp.,43335,,mosquito
W1702,,,IL,Cook,,culex sp.,43342,,mosquito
W1705,,,IL,Cook,,culex sp.,43342,,mosquito
KJ501142,West Nile virus,USA,,,mosquito pool,culex stigmatosoma,2011,"    Direct Submission
  ",mosquito
KJ501148,West Nile virus,USA,,,mosquito pool,culex stigmatosoma,2011,"    Direct Submission
  ",mosquito
W098,,,CA,SanDiego,,culex stigmatosoma,42975,,mosquito
W183,,,CA,Tulare,,culex stigmatosoma,39700,,mosquito
W198,,,CA,Fresno,,culex stigmatosoma,41131,,mosquito
W201,,,CA,Lake,,culex stigmatosoma,41507,,mosquito
DQ080051,,,AZ,Cochise Co.,,culex tarsalis,2003,,mosquito
DQ080052,,,AZ,Maricopoa Co.,,culex tarsalis,2003,,mosquito
DQ080053,,,AZ,Apache Co.,,culex tarsalis,2003,,mosquito
DQ080055,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito
DQ080056,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito
GQ379158,West Nile virus,USA,CA,,,culex tarsalis,39295,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  ",mosquito
JF703161,West Nile virus,USA,,,,culex tarsalis,38170,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito
JF703162,West Nile virus,USA,,,,culex tarsalis,37803,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito
JF703163,West Nile virus,USA,,,,culex tarsalis,38664,"    North American West Nile virus genotype isolates demonstrate
            differential replicative capacities in response to temperature
  ",mosquito
KJ501096,West Nile virus,USA,,,mosquito pool,culex tarsalis,2011,"    Direct Submission
  ",mosquito
