branch_name,p_value,alpha_value,significant?
2266,0.99930894,0.0010204081632653062,n
2228,0.99933568,0.0010416666666666667,n
1625,0.99950242,0.0010638297872340426,n
1621,0.99956425,0.0010869565217391304,n
3173,0.99965736,0.0011111111111111111,n
1617,0.99967814,0.0011363636363636365,n
1975,0.99978388,0.0011627906976744186,n
2270,0.99980569,0.0011904761904761906,n
3905,0.99989015,0.0012195121951219512,n
2734,0.999897,0.00125,n
562,0.99989824,0.001282051282051282,n
3427,0.99990357,0.0013157894736842105,n
3278,0.99993239,0.0013513513513513514,n
131,0.99993463,0.001388888888888889,n
44,0.99993846,0.0014285714285714286,n
3036,0.99994448,0.0014705882352941176,n
563,0.99995413,0.0015151515151515152,n
1840,0.99995413,0.0015625,n
2760,0.99995947,0.0016129032258064516,n
4968,0.99996129,0.0016666666666666668,n
1287,0.99998024,0.001724137931034483,n
1640,0.99998024,0.0017857142857142859,n
561,0.99998249,0.001851851851851852,n
3413,0.99998413,0.0019230769230769232,n
3573,0.99998439,0.002,n
3292,0.99998822,0.0020833333333333333,n
1603,0.99999274,0.002173913043478261,n
4850,0.99999587,0.002272727272727273,n
3491,0.99999906,0.002380952380952381,n
296,0.99999916,0.0025,n
559,0.9999992,0.002631578947368421,n
2003,0.99999937,0.002777777777777778,n
3409,0.99999939,0.0029411764705882353,n
4958,0.99999939,0.003125,n
275,0.99999982,0.0033333333333333335,n
560,0.99999994,0.0035714285714285718,n
295,0.99999997,0.0038461538461538464,n
2107,0.99999998,0.004166666666666667,n
274,1,0.004545454545454546,n
282,1,0.005,n
294,1,0.005555555555555556,n
446,1,0.00625,n
2532,1,0.0071428571428571435,n
3079,1,0.008333333333333333,n
3080,1,0.01,n
3273,1,0.0125,n
3906,1,0.016666666666666666,n
4759,1,0.025,n
4979,1,0.05,n
