ecotype_size,file_name
148,result_329.xml
106,result_301.xml
213,result_467.xml
107,result_473.xml
106,result_315.xml
104,result_103.xml
169,result_117.xml
229,result_116.xml
107,result_102.xml
254,result_472.xml
107,result_314.xml
104,result_300.xml
167,result_466.xml
104,result_328.xml
152,result_499.xml
110,result_260.xml
104,result_274.xml
107,result_248.xml
110,result_19.xml
213,result_3.xml
106,result_25.xml
136,result_31.xml
106,result_95.xml
264,result_81.xml
103,result_56.xml
122,result_42.xml
107,result_213.xml
109,result_207.xml
110,result_398.xml
132,result_367.xml
144,result_401.xml
112,result_415.xml
173,result_373.xml
122,result_429.xml
162,result_165.xml
107,result_171.xml
138,result_159.xml
206,result_158.xml
136,result_170.xml
103,result_164.xml
107,result_428.xml
106,result_414.xml
195,result_372.xml
206,result_366.xml
106,result_400.xml
110,result_399.xml
107,result_206.xml
190,result_212.xml
176,result_43.xml
107,result_57.xml
110,result_80.xml
107,result_94.xml
169,result_82.xml
107,result_96.xml
106,result_69.xml
106,result_41.xml
110,result_55.xml
106,result_204.xml
160,result_210.xml
169,result_238.xml
176,result_370.xml
113,result_416.xml
129,result_402.xml
107,result_364.xml
247,result_358.xml
107,result_199.xml
113,result_172.xml
112,result_166.xml
109,result_167.xml
109,result_173.xml
110,result_198.xml
116,result_359.xml
179,result_403.xml
109,result_365.xml
107,result_371.xml
107,result_417.xml
229,result_239.xml
107,result_211.xml
107,result_205.xml
158,result_54.xml
103,result_40.xml
106,result_68.xml
208,result_97.xml
192,result_83.xml
152,result_87.xml
110,result_93.xml
224,result_44.xml
106,result_50.xml
125,result_78.xml
129,result_229.xml
102,result_201.xml
107,result_215.xml
162,result_349.xml
109,result_413.xml
113,result_375.xml
110,result_361.xml
132,result_407.xml
206,result_188.xml
246,result_177.xml
112,result_163.xml
125,result_162.xml
206,result_176.xml
107,result_189.xml
152,result_360.xml
146,result_406.xml
190,result_412.xml
219,result_374.xml
107,result_348.xml
109,result_214.xml
132,result_200.xml
110,result_228.xml
109,result_79.xml
116,result_51.xml
213,result_45.xml
107,result_92.xml
106,result_86.xml
107,result_90.xml
106,result_84.xml
248,result_53.xml
103,result_47.xml
208,result_216.xml
144,result_202.xml
107,result_389.xml
104,result_438.xml
109,result_404.xml
229,result_362.xml
192,result_376.xml
146,result_410.xml
136,result_148.xml
107,result_160.xml
187,result_174.xml
251,result_175.xml
107,result_161.xml
107,result_149.xml
122,result_377.xml
112,result_411.xml
107,result_405.xml
107,result_363.xml
247,result_439.xml
107,result_388.xml
112,result_203.xml
110,result_217.xml
107,result_46.xml
159,result_52.xml
106,result_85.xml
167,result_91.xml
